hora;prec;tmax;tmed;tmin;ur
10/06/2022 00:00;1,400;18,091;17,884;17,680;99,703
10/06/2022 01:00;0,200;17,723;17,598;17,509;100,000
10/06/2022 02:00;0,000;17,792;17,666;17,552;100,000
10/06/2022 03:00;0,000;17,792;17,680;17,509;100,000
10/06/2022 04:00;0,000;17,539;17,431;17,312;100,000
10/06/2022 05:00;0,000;17,469;17,321;17,197;100,000
10/06/2022 06:00;0,000;17,469;17,346;17,229;100,000
10/06/2022 07:00;0,000;17,256;17,115;16,831;100,000
10/06/2022 08:00;0,000;16,844;16,528;16,348;100,000
10/06/2022 09:00;0,000;16,972;16,418;15,811;100,000
10/06/2022 10:00;0,000;17,779;17,351;16,943;100,000
10/06/2022 11:00;0,000;19,365;18,253;17,624;98,715
10/06/2022 12:00;0,000;20,145;19,847;19,250;91,019
10/06/2022 13:00;0,000;21,021;20,476;20,030;85,852
10/06/2022 14:00;0,000;21,034;20,160;19,477;87,403
10/06/2022 15:00;0,000;20,073;19,632;19,010;85,811
10/06/2022 16:00;0,000;19,066;18,750;18,471;85,773
10/06/2022 17:00;0,000;18,657;18,033;17,539;85,706
10/06/2022 18:00;0,000;17,539;16,712;15,926;88,153
10/06/2022 19:00;0,000;15,968;15,659;15,344;88,059
10/06/2022 20:00;0,000;15,373;15,159;14,932;87,411
10/06/2022 21:00;0,000;15,031;14,785;14,553;85,639
10/06/2022 22:00;0,000;14,636;14,342;14,027;85,395
10/06/2022 23:00;0,000;14,056;13,913;13,803;85,004
11/06/2022 00:00;0,000;13,902;13,540;13,178;83,165
11/06/2022 01:00;0,000;13,234;12,979;12,753;81,285
11/06/2022 02:00;0,000;12,908;12,674;12,102;80,834
11/06/2022 03:00;0,000;12,724;12,375;11,805;81,356
11/06/2022 04:00;0,000;12,526;12,363;11,934;75,747
11/06/2022 05:00;0,000;12,088;11,810;11,351;75,589
11/06/2022 06:00;0,000;11,677;11,249;10,644;72,985
11/06/2022 07:00;0,000;10,812;9,387;7,981;81,100
11/06/2022 08:00;0,000;7,981;7,032;6,481;92,347
11/06/2022 09:00;0,000;7,132;6,895;6,540;96,097
11/06/2022 10:00;0,000;12,059;8,850;6,977;96,146
11/06/2022 11:00;0,000;13,362;12,797;12,032;74,727
11/06/2022 12:00;0,000;14,254;13,723;13,138;63,907
11/06/2022 13:00;0,000;15,330;14,730;14,083;64,010
11/06/2022 14:00;0,000;16,222;15,670;15,103;65,284
11/06/2022 15:00;0,000;16,831;16,420;15,896;57,400
11/06/2022 16:00;0,000;17,565;17,185;16,676;54,547
11/06/2022 17:00;0,000;18,556;18,008;17,354;54,056
11/06/2022 18:00;0,000;17,354;15,961;14,409;67,477
11/06/2022 19:00;0,000;14,409;12,825;11,098;81,670
11/06/2022 20:00;0,000;11,282;10,177;9,327;92,810
11/06/2022 21:00;0,000;9,383;8,856;8,294;96,067
11/06/2022 22:00;0,000;8,435;8,014;7,544;97,365
11/06/2022 23:00;0,000;9,143;7,916;7,330;98,501
12/06/2022 00:00;0,000;9,229;8,426;7,714;99,210
12/06/2022 01:00;0,000;9,426;8,418;7,474;97,598
12/06/2022 02:00;0,000;7,955;7,439;6,921;97,533
12/06/2022 03:00;0,000;7,346;6,409;5,789;95,993
12/06/2022 04:00;0,000;7,461;6,434;5,506;92,028
12/06/2022 05:00;0,000;5,733;5,319;4,670;94,105
12/06/2022 06:00;0,200;5,196;4,663;4,176;95,898
12/06/2022 07:00;0,000;6,625;5,098;3,696;90,754
12/06/2022 08:00;0,000;5,196;4,385;3,893;92,058
12/06/2022 09:00;0,000;8,508;5,718;3,936;94,640
12/06/2022 10:00;0,000;11,226;10,195;8,508;75,263
12/06/2022 11:00;0,000;13,659;12,438;11,210;62,506
12/06/2022 12:00;0,000;15,795;14,575;13,603;51,362
12/06/2022 13:00;0,000;17,272;16,520;15,768;46,827
12/06/2022 14:00;0,000;18,911;17,941;17,229;45,746
12/06/2022 15:00;0,000;19,731;19,154;18,414;45,612
12/06/2022 16:00;0,000;18,925;17,990;17,354;51,768
12/06/2022 17:00;0,000;17,581;17,447;17,229;52,969
12/06/2022 18:00;0,000;17,426;16,882;15,952;59,034
12/06/2022 19:00;0,000;16,011;13,256;11,026;77,342
12/06/2022 20:00;0,000;11,365;10,554;9,496;89,491
12/06/2022 21:00;0,000;9,610;9,215;8,534;94,763
12/06/2022 22:00;0,000;10,420;8,874;8,094;96,743
12/06/2022 23:00;0,000;11,127;9,897;8,887;93,494
13/06/2022 00:00;0,000;9,893;9,182;8,267;96,800
13/06/2022 01:00;0,000;9,768;9,009;8,465;97,372
13/06/2022 02:00;0,000;9,130;8,597;7,741;98,385
13/06/2022 03:00;0,000;9,851;9,204;8,564;99,030
13/06/2022 04:00;0,000;9,242;8,537;7,840;99,057
13/06/2022 05:00;0,000;9,215;8,380;7,840;99,639
13/06/2022 06:00;0,000;9,581;8,460;7,883;99,890
13/06/2022 07:00;0,000;8,705;8,224;7,602;100,000
13/06/2022 08:00;0,000;9,851;9,091;8,152;100,000
13/06/2022 09:00;0,000;12,270;10,694;9,172;100,000
13/06/2022 10:00;0,000;15,261;13,792;12,257;95,794
13/06/2022 11:00;0,000;17,565;16,395;15,205;81,137
13/06/2022 12:00;0,200;19,421;18,571;17,581;74,736
13/06/2022 13:00;0,000;20,003;19,640;19,250;71,717
13/06/2022 14:00;0,000;20,909;20,350;19,774;70,828
13/06/2022 15:00;0,000;21,363;21,151;20,810;68,774
13/06/2022 16:00;0,000;21,250;19,740;18,217;75,288
13/06/2022 17:00;0,000;19,378;18,827;18,204;80,619
13/06/2022 18:00;0,000;18,884;18,086;16,719;83,326
13/06/2022 19:00;0,000;16,746;16,123;15,755;90,555
13/06/2022 20:00;0,000;15,912;15,758;15,528;90,741
13/06/2022 21:00;0,000;15,557;15,294;14,876;90,535
13/06/2022 22:00;0,000;15,514;14,938;14,155;90,090
13/06/2022 23:00;0,000;14,494;13,873;13,122;93,096
14/06/2022 00:00;0,000;14,510;14,165;13,816;93,145
14/06/2022 01:00;0,000;14,070;13,896;13,448;94,909
14/06/2022 02:00;0,000;13,448;13,051;12,526;96,073
14/06/2022 03:00;0,000;12,668;11,897;10,756;96,516
14/06/2022 04:00;0,000;11,648;11,184;10,756;98,415
14/06/2022 05:00;0,000;12,243;11,889;11,520;99,500
14/06/2022 06:00;0,000;12,299;12,218;12,158;99,707
14/06/2022 07:00;0,000;12,369;12,206;12,046;99,788
14/06/2022 08:00;0,000;12,342;12,094;11,661;99,853
14/06/2022 09:00;0,000;12,951;11,784;11,365;99,881
14/06/2022 10:00;0,000;14,708;13,789;12,922;98,429
14/06/2022 11:00;0,000;16,390;15,463;14,665;90,307
14/06/2022 12:00;0,000;18,019;17,281;16,377;83,143
14/06/2022 13:00;0,000;18,967;18,484;17,525;79,399
14/06/2022 14:00;0,000;19,945;19,350;18,543;78,088
14/06/2022 15:00;0,000;20,682;19,950;19,221;75,837
14/06/2022 16:00;0,000;20,724;20,210;19,592;72,999
14/06/2022 17:00;0,000;19,902;19,696;19,394;76,353
14/06/2022 18:00;0,000;19,394;18,935;18,529;82,469
14/06/2022 19:00;0,000;18,556;18,247;17,936;82,900
14/06/2022 20:00;0,000;17,979;17,812;17,595;84,104
14/06/2022 21:00;0,000;17,993;17,734;16,943;82,320
14/06/2022 22:00;0,000;17,384;17,133;16,887;84,573
14/06/2022 23:00;0,000;17,341;17,176;17,042;90,150
15/06/2022 00:00;0,000;17,098;16,577;16,025;93,082
15/06/2022 01:00;0,000;16,051;15,699;15,344;95,256
15/06/2022 02:00;0,000;15,854;15,577;15,205;96,079
15/06/2022 03:00;0,000;15,640;15,481;15,189;96,582
15/06/2022 04:00;0,000;15,656;15,353;15,143;96,669
15/06/2022 05:00;0,000;15,824;15,672;15,360;96,548
15/06/2022 06:00;0,000;16,265;15,815;15,304;97,125
15/06/2022 07:00;0,000;16,930;16,533;16,222;88,917
15/06/2022 08:00;0,000;16,420;16,097;15,926;87,524
15/06/2022 09:00;0,000;16,209;15,970;15,683;88,030
15/06/2022 10:00;0,000;17,015;16,544;16,179;86,172
15/06/2022 11:00;0,000;19,053;17,567;16,943;83,851
15/06/2022 12:00;0,000;19,704;19,329;19,023;76,266
15/06/2022 13:00;0,000;20,724;20,297;19,250;70,859
15/06/2022 14:00;0,000;20,796;20,271;19,774;69,971
15/06/2022 15:00;0,000;20,767;20,112;19,691;71,134
15/06/2022 16:00;0,000;20,257;20,050;19,888;73,235
