img;id;x;y;area;area_ch;perimeter;radius_mean;radius_min;radius_max;radius_sd;diam_mean;diam_min;diam_max;major_axis;minor_axis;caliper;length;width;radius_ratio;theta;eccentricity;form_factor;narrow_factor;asp_ratio;rectangularity;pd_ratio;plw_ratio;solidity;convexity;elongation;circularity;circularity_haralick;circularity_norm;coverage;asm;con;cor;var;idm;sav;sva;sen;ent;dva;den;f12;f13;DGCI;A2;A3;A4;A5;A6;A7;A8;B2;B3;B4;B5;B6;B7;B8;C2;C3;C4;C5;C6;C7;C8;D1;D2;D3;D4;D5;D6;D7;D8
E1_1001;1;864.4004918;492.3261921;201204;204166.5;3513.734557;417.620962;75.35441182;819.9766897;223.1670101;835.241924;150.7088236;1639.953379;468.9341818;65.53091021;1597.117716;1619.775064;164.9316296;10.88160162;0.479602622;0.990187615;0.204789919;0.986012041;9.820888014;1.327767544;2.200047323;1.968802252;0.985489784;0.824562699;0.898176214;61.36225193;1.87133825;0.203316621;0.10479375;0.081722558;1.391187188;0.846181567;5.522173189;0.721528811;12.24653942;141.0418503;1.095559882;1.355281191;1.391187188;0.441237883;0.343237446;0.655588725;0.508819491;0.000523738;0.110955486;0.000717567;0.039871038;0.000634987;0.020000351;0.000509151;0.001521223;0.001665467;0.000948888;0.001652495;0.000516743;0.001249875;0.00040118;0.001053379;0.004668679;0.003535229;0.005298148;0.002747527;0.001734301;0.001509188;-0.136171291;0.017879605;-0.024227283;0.010390143;-0.00548894;0.004632678;-0.00193155;0.002760195
E1_1002;1;768.043452;438.0566057;102898;105037.5;2535.523953;312.1082617;54.14206229;606.4459246;166.6430649;624.2165233;108.2841246;1212.891849;350.9267075;44.94982378;1200.500312;1210.958328;121.5833262;11.20101265;0.053143102;0.991762687;0.201132088;0.991363852;9.959904584;1.430857172;2.112056055;1.902772755;0.979631084;0.963631146;0.899597432;62.47819897;1.872914795;0.198757159;0.053592708;0.089029014;1.739717764;0.809912074;5.576086967;0.710242046;14.02091389;184.845833;1.048589396;1.326196462;1.739717764;0.465635782;0.291117333;0.603070082;0.535782244;-0.003272833;0.106053198;3.27E-06;0.037164895;0.000506381;0.019686431;0.000981027;-0.003113186;-0.005421485;-0.001320352;-0.002588004;-0.00043216;-0.001922357;9.82E-06;0.003667404;0.002235415;-0.00433462;0.000619078;8.02E-05;-0.000623109;-0.001170352;-0.125459851;0.00633734;-0.011212606;0.009623412;-0.004533136;0.005393374;-0.000750799;0.002548675
E1_1003;1;797.8569268;314.0746165;88377;90119.5;2326.854906;287.1084031;50.5881944;557.4782071;153.0941121;574.2168062;101.1763888;1114.956414;322.6501197;41.89804798;1112.360553;1113.357111;112.6900547;11.01992696;0.047423291;0.991532866;0.205121183;0.999104907;9.879816936;1.419648481;2.091817172;1.897851054;0.980664562;0.966214381;0.89878355;61.2631539;1.875371948;0.202527489;0.046029688;0.082246832;1.985601646;0.794909412;5.840791738;0.704367428;12.68071078;152.1759425;1.070440443;1.359430524;1.985601646;0.474488559;0.289367835;0.607270776;0.501334978;-0.004403436;0.106054927;-0.000607652;0.036949696;0.000613349;0.019396728;0.001155897;-0.00188632;-0.006076602;5.20E-05;-0.003318546;0.000266908;-0.002116459;0.000233671;0.003277467;0.002563272;-0.003802199;0.000354293;0.000413853;-0.000688937;-0.000989945;-0.127221092;0.004721292;-0.011666254;0.008964559;-0.00411362;0.005506894;-0.000804251;0.002807182
E1_1004;1;659.7338964;387.09624;193880;198292.5;2945.722005;362.6746285;91.37384788;688.808375;182.1677376;725.349257;182.7476958;1377.61675;398.677945;75.90637422;1362.729614;1371.600349;200.8552726;7.538353599;0.118892342;0.981707523;0.280775596;0.993532565;6.828799321;1.420946782;2.161633515;1.873326003;0.977747519;0.780560184;0.853561373;44.75592186;1.990882871;0.278786503;0.100979167;0.105151591;1.097487535;0.875144884;5.395044295;0.735609743;13.4171898;170.1106692;1.022514346;1.26537645;1.097487535;0.419102057;0.323633072;0.621820932;0.542644164;-0.00013224;0.107238619;-0.002751902;0.037118232;-0.001710051;0.017092918;-0.001530826;0.004938455;-0.006448198;0.001620849;-0.003911948;8.18E-05;-0.002414088;0.000820566;0.008328676;-0.002338413;0.001043557;-0.00088403;2.65E-05;-0.001035251;0.000412753;-0.182056544;-0.036851346;-0.019194759;-0.016864529;-0.011278285;-0.002849518;-0.005416779;-0.006287493
E1_1005;1;560.68504;442.7496684;231901;251508.5;3135.018469;385.2667289;102.3824342;728.3290479;191.0696733;770.5334578;204.7648683;1456.658096;420.1283201;91.74823574;1330.687792;1428.060747;270.0747546;7.11380867;0.051870403;0.975863483;0.296505175;0.931814557;5.287649892;1.663137096;2.355938401;1.846153306;0.922040408;0.785337028;0.810880066;42.38162321;2.016367759;0.294640998;0.120781771;0.091191024;0.893712735;0.911335602;6.039862424;0.736835339;13.15280711;165.137006;1.075089232;1.315350743;0.893712735;0.407795535;0.363086027;0.665014872;0.49461383;-0.001563712;0.10561993;-0.008882787;0.033378128;-0.006148507;0.014711428;-0.004222834;0.001956643;-0.003338;0.002978404;-0.001430759;0.001018381;-0.002516552;0.00090024;0.00115539;0.010739322;-0.000187469;0.001354821;-0.003113879;0.003483899;-0.001048869;-0.195402565;-0.081236845;-0.026404165;-0.023617999;-0.015443651;-0.009386101;-0.004374864;-0.002112853
E1_1006;1;848.2901018;633.2904929;237998;241106;3776.591555;458.3816727;87.85024453;891.2620904;242.3154719;916.7633454;175.7004891;1782.524181;513.4807488;71.75259763;1740.654187;1758.137924;182.7489448;10.14524314;0.583163364;0.990188561;0.209692615;0.990055537;9.620509305;1.350002313;2.169639198;1.945807154;0.987109404;0.816738981;0.896055399;59.92757827;1.891673153;0.208374096;0.123957292;0.073150024;1.451543074;0.848039094;5.776041117;0.704835003;12.30694035;142.9238613;1.114476815;1.403059168;1.451543074;0.460767916;0.321391671;0.644857324;0.486259499;0.00078942;0.109946126;0.00088284;0.039031467;0.001025355;0.019335533;0.000841332;0.003076294;0.004949695;0.002428838;0.004099752;0.001314522;0.002835672;0.001175243;-0.001753127;0.001715809;-0.00104496;0.002770992;7.10E-05;0.001536512;-0.000398586;-0.138904984;0.015488945;-0.018274854;0.011237258;-0.003033473;0.004550994;-0.000871041;0.003115271
E1_1007;1;867.9983819;648.5411115;262781;268124;3652.01587;446.2197246;101.0997612;862.444802;228.8103195;892.4394493;202.1995225;1724.889604;494.5175435;83.07044689;1625.463626;1684.749407;212.5644962;8.530631442;0.559820503;0.985789925;0.247593086;0.964810327;7.925826922;1.362799856;2.246753364;1.924834822;0.980072653;0.935749507;0.8738302;50.75412573;1.950173077;0.246214643;0.136865104;0.069358474;1.230365806;0.865054907;5.55876454;0.701535732;14.94122029;208.2197929;1.113165449;1.399115165;1.230365806;0.452416284;0.325403282;0.647735769;0.509515209;0.001893691;0.109659559;0.001445709;0.03860227;0.000564472;0.019287469;0.000769;0.003845117;0.005659467;0.002958943;0.004584137;0.000895387;0.003117716;0.000644467;0.007058637;-0.001081027;0.00427041;-0.000540183;-0.001166176;0.000758913;0.000101311;-0.16609636;0.023365403;-0.019459869;0.017694204;-0.003050941;0.004743907;-0.001893541;0.002836923
E1_1008;1;876.16781;569.2429206;247808;255807;3796.140761;460.2621711;85.86568879;890.7449823;242.1896673;920.5243423;171.7313776;1781.489965;514.6773158;74.733603;1749.76627;1758.663404;191.5663474;10.37370101;0.557508582;0.989401624;0.216092937;0.994940968;9.180440238;1.359523198;2.169513052;1.946509512;0.968730332;0.860823693;0.891072762;58.1526209;1.900420345;0.214763546;0.129066667;0.080106981;1.278199791;0.843500061;5.083706985;0.712289079;13.27177018;163.9974809;1.067637573;1.341527209;1.278199791;0.448290472;0.3100995;0.623621442;0.529807342;0.001193453;0.110146349;-8.26E-05;0.038805321;0.000693311;0.019490945;0.000761486;0.001790015;0.004245497;0.002282542;0.003097754;0.00128665;0.002475251;0.000483463;0.006874088;0.001391484;-0.003745676;-0.002088798;-0.000554651;-0.001343267;0.000192968;-0.14412246;0.013614529;-0.017913322;0.016920055;-0.005539283;0.008958106;-0.002308334;0.002136155
E1_1009;1;937.1596994;520.1339072;227283;239769.5;3194.287589;388.3191016;103.6422934;734.5909865;193.8063525;776.6382032;207.2845868;1469.181973;425.4876893;85.43887986;1413.974894;1456.496007;236.6971578;7.087753102;0.224664712;0.979631799;0.279916687;0.970805884;6.153415702;1.516824687;2.259083668;1.88654647;0.947922901;0.940255463;0.837488633;44.8932529;2.003644858;0.278143215;0.118376563;0.076421032;1.350464603;0.847247855;5.42044399;0.674473346;14.6083602;200.2561206;1.046472085;1.378124117;1.350464603;0.475598251;0.247597095;0.568123074;0.505692443;0.005121738;0.107029748;0.004228579;0.035934829;0.003545433;0.017498954;0.002782985;-0.009523931;-0.004909739;-0.00642367;-0.001617532;-0.002782357;-0.001276584;-0.002774672;-0.004789493;-0.005337795;0.000565026;-0.000970223;0.001588425;-0.002790099;0.000646408;-0.188250516;0.052833894;-0.022604322;0.030335205;-0.012693723;0.004136607;-0.003462045;0.001445109
E1_1010;2;885.3048423;537.512778;292979;298600;3128.655121;393.1076274;144.4918236;722.361747;176.0347192;786.2152549;288.9836473;1444.723494;415.9001629;111.9722141;1406.249622;1409.202575;299.7977209;4.999326113;0.286606488;0.963076304;0.376123935;0.997904522;4.700511301;1.442000008;2.224822017;1.830693142;0.981175486;0.936672962;0.787257186;33.41018594;2.233125541;0.374331762;0.152593229;0.09068729;0.919729602;0.861158702;4.312161485;0.723149519;13.15617437;159.6215343;1.019757356;1.272211687;0.919729602;0.418481466;0.305097201;0.606335306;0.522320776;0.006405213;0.105260365;0.005784707;0.033594361;0.005601017;0.015163751;0.00443885;-0.005531519;-0.007228492;-0.003030858;-0.004526654;-0.001270686;-0.003765809;-0.000532688;-5.26E-05;-0.00182804;0.002214227;0.005962238;-0.003113693;0.002438521;-0.002371074;-0.263930659;0.046966677;-0.021384495;0.023728272;-0.008806802;0.006739124;-0.001052831;0.000546282
E1_1011;1;913.7670591;610.3543119;330138;340306.5;3511.06551;440.1902503;130.8762871;815.6503282;204.0445482;880.3805006;261.7525742;1631.300656;471.7143231;113.4587794;1581.412343;1582.840722;331.6437708;6.23222393;0.502825009;0.970643106;0.33653289;0.999097585;4.772713562;1.590060113;2.220208742;1.833948262;0.970119583;0.93681719;0.790475589;37.3406909;2.157324242;0.335051745;0.171946875;0.068485873;1.089636461;0.870363915;5.202674198;0.697705897;13.81791817;177.4319579;1.101358194;1.392306311;1.089636461;0.443468813;0.31249377;0.634955632;0.498848743;0.005858563;0.10639302;0.003295431;0.036282651;0.00344554;0.016369682;0.003245773;0.006380422;0.005689053;0.0028109;0.003148577;0.00197925;0.001547708;0.001520258;0.011544814;-0.004375088;-0.010425826;0.004906829;-0.004151771;-0.002600202;-0.000455471;-0.235675076;0.058209902;-0.01675656;0.019261915;-0.006644263;0.008402995;-0.006735997;0.00257583
E1_1012;1;888.6418172;620.2203006;284958;302107;3697.329578;452.1043116;95.0079941;873.356668;234.0657411;904.2086233;190.0159882;1746.713336;501.241667;89.01347905;1654.268721;1693.749185;242.0172489;9.192454554;0.568531429;0.984105294;0.261947578;0.97669049;6.998464747;1.438515564;2.235023568;1.910008105;0.943235344;0.912936265;0.857111519;47.97284516;1.931527055;0.260583412;0.148415625;0.085469016;1.102857218;0.869742719;5.233380324;0.715130906;14.11414242;186.4032024;1.05380022;1.321982085;1.102857218;0.433588397;0.310995201;0.621041447;0.537327811;0.002297217;0.109739774;0.00285651;0.037098254;0.002267626;0.018007035;0.001753075;0.004288063;0.002352395;0.003125955;0.00386359;0.001631102;0.002822402;0.000806553;0.007951644;0.006002767;0.002477785;-0.006895104;-0.000358456;-0.001668991;0.001022036;-0.171796093;0.033186649;-0.033849321;0.023009381;-0.006133871;0.007019575;-0.004638502;0.001132553
E1_1013;1;941.3907723;570.8996523;331873;339262;3420.995308;423.7744437;142.016568;784.9900643;196.0367617;847.5488873;284.033136;1569.980129;451.7368644;118.0513527;1492.929;1515.688155;314.2402049;5.527454123;0.327843951;0.965250142;0.356350053;0.984984276;4.823342562;1.435157896;2.291465507;1.869469528;0.978220373;0.930031125;0.792674896;35.2641188;2.161709059;0.354746401;0.172850521;0.064886441;1.221416835;0.852404168;5.137707735;0.694042414;12.89562815;154.1188767;1.114734182;1.414117425;1.221416835;0.45557593;0.308159384;0.634756772;0.493841092;0.007272847;0.10425324;0.006825552;0.033809488;0.006139669;0.01481983;0.005253254;-0.005184771;-0.003208858;-0.003333085;-0.001485152;-0.002161823;-0.000511107;-0.00197795;0.003032036;0.003853335;0.002317362;-0.004221786;0.001292924;-0.002807272;0.000716255;-0.24964453;0.063664538;-0.027931047;0.030772376;-0.01171634;0.009353857;-0.006778037;0.004181987
E1_1014;2;875.0056301;646.690714;252349;263415;3455.758944;424.3067234;100.4161791;809.4244066;215.126331;848.6134468;200.8323583;1618.848813;468.1527636;84.45152501;1580.187964;1588.421898;235.1737275;8.060697128;0.539810728;0.983594597;0.26553671;0.99481628;6.754248935;1.480311388;2.186929039;1.895024804;0.957990244;0.915535792;0.851945048;47.32441927;1.972360712;0.264056707;0.131431771;0.059592331;1.343508935;0.859660336;5.786633015;0.692931515;13.77260065;177.1485844;1.149385475;1.449607495;1.343508935;0.461877863;0.328221599;0.659009722;0.506004139;0.001908436;0.109750638;0.002678404;0.037595583;0.000897906;0.01821436;0.001400984;0.005046842;0.004868063;0.002582468;0.002915731;0.001237198;0.001941797;0.001823075;-0.002781245;0.006391779;0.003738432;-0.001033683;-0.007197317;-0.00104515;-0.001611493;-0.178669355;0.033028089;-0.021649549;0.01320291;-0.009199865;0.001729033;-0.004069495;0.004482067
E1_1015;1;919.4391704;645.8772381;298919;314821;3668.074744;451.7303965;108.1936291;864.7041679;228.2799595;903.4607931;216.3872583;1729.408336;497.089601;95.16488113;1653.760865;1675.293087;261.4115089;7.992191174;0.564020969;0.981503515;0.279181754;0.987147191;6.408643191;1.465082159;2.218020042;1.893977405;0.949488757;0.941072659;0.843960731;45.01143229;1.978843861;0.277803212;0.155686979;0.085926546;1.127161181;0.842993905;4.589545927;0.716948309;14.18830557;186.29735;1.032837985;1.299050134;1.127161181;0.431766355;0.293137567;0.600163509;0.544429427;0.00402024;0.108770567;0.003244623;0.036117179;0.002329175;0.01726535;0.002545873;0.005449067;0.004275433;0.004460002;0.003669608;0.001542162;0.003030634;0.000736692;0.010316698;0.003372781;-9.25E-05;-0.007043511;-0.002353421;-0.00086392;0.002124398;-0.185559815;0.038810073;-0.029207928;0.02817888;-0.011681629;0.005730468;-0.004345771;0.001621235
