epoca;gen;ap;ac;nc;ng;areac;nr;mc;rgpla;icc;ngcap;mmg
E1;G1;70;43;34;196;0.388043049;0;1.52;1.18;0.776315789;5.764705882;6.020408163
E1;G2;70;43;16;130;0.383090456;0;0.88;0.66;0.75;8.125;5.076923077
E1;G3;73;37;41;317;0.395915548;0;2.33;1.82;0.78111588;7.731707317;5.741324921
E1;G4;100;65;98;700;0.402242978;1;5.53;4.22;0.763110307;7.142857143;6.028571429
E1;G5;64;43;14;114;0.427303089;0;0.82;0.67;0.817073171;8.142857143;5.877192982
E1;G6;69;41;37;232;0.37705247;1;1.57;1.18;0.751592357;6.27027027;5.086206897
E1;G7;78;50;30;176;0.384354541;0;1.17;0.9;0.769230769;5.866666667;5.113636364
E1;G8;58;46;6;42;0.412613576;0;0.23;0.17;0.739130435;7;4.047619048
E1;G9;96;74;48;317;0.445214908;1;2.5;2.03;0.812;6.604166667;6.403785489
E1;G10;96;71;34;244;0.443623562;2;2.05;1.5;0.731707317;7.176470588;6.147540984
E1;G11;73;50;26;164;0.408756008;0;1.26;0.93;0.738095238;6.307692308;5.670731707
E1;G12;75;60;14;96;0.379847358;0;0.67;0.5;0.746268657;6.857142857;5.208333333
E1;G13;73;50.5;90;542;0.384348553;2;3.85;2.75;0.714285714;6.022222222;5.073800738
E1;G14;85;66;35;258;0.411113512;2;1.81;1.38;0.762430939;7.371428571;5.348837209
E1;G15;65.5;44.3;17;108;0.430854855;0;0.8;0.57;0.7125;6.352941176;5.277777778
E1;G16;69.5;53;34;246;0.382646792;2;1.61;1.26;0.782608696;7.235294118;5.12195122
E1;G17;87;69;22;153;0.436371047;1;1.26;0.94;0.746031746;6.954545455;6.14379085
E1;G18;62;42;31;210;0.329405524;1;1.58;1.17;0.740506329;6.774193548;5.571428571
E1;G19;68;38;39;228;0.388726144;2;1.92;1.52;0.791666667;5.846153846;6.666666667
E1;G20;69;39;39;221;0.398116487;2;2.05;1.64;0.8;5.666666667;7.42081448
E1;G21;60;41;34;184;0.397214832;1;1.84;1.42;0.77173913;5.411764706;7.717391304
E1;G22;74;44;31;173;0.388047263;1;1.35;1.11;0.822222222;5.580645161;6.416184971
E1;G23;60;35;33;210;0.407978871;0;1.78;1.34;0.752808989;6.363636364;6.380952381
E1;G24;76;47;7;26;0.339367868;0;0.23;0.14;0.608695652;3.714285714;5.384615385
E1;G25;82;48;29;153;0.370022264;0;1.26;0.94;0.746031746;5.275862069;6.14379085
E1;G26;90;74;11;45;0.343134246;0;0.35;0.18;0.514285714;4.090909091;4
E1;G27;92;68;24;74;0.402711324;2;0.86;0.74;0.860465116;3.083333333;10
E1;G28;87;58;47;139;0.413118117;1;2.44;1.85;0.758196721;2.957446809;13.30935252
E1;G29;87;54;65;328;0.412076271;3;3.05;2.42;0.793442623;5.046153846;7.37804878
E1;G30;103;76;18;78;0.451181327;0;0.82;0.55;0.670731707;4.333333333;7.051282051
E1;G31;72;49;42;422;0.480564829;1;2.31;1.77;0.766233766;10.04761905;4.194312796
E1;G32;88;67;9;53;0.318160289;0;0.34;0.22;0.647058824;5.888888889;4.150943396
E1;G33;89;63;39;295;0.399826163;2;1.83;1.1;0.601092896;7.564102564;3.728813559
E1;G34;94;68;5;16;0.39100346;0;0.18;0.09;0.5;3.2;5.625
E1;G35;86;68;19;220;0.41109062;2;0.61;0.3;0.491803279;11.57894737;1.363636364
E1;G36;77;40;72;438;0.393719126;2;3.51;2.66;0.757834758;6.083333333;6.073059361
E1;G37;73;42;32;195;0.386128739;1;1.48;1.14;0.77027027;6.09375;5.846153846
E1;G38;65;41;11;77;0.384846495;3;0.48;0.36;0.75;7;4.675324675
E1;G39;76;54;3;23;0.402261943;0;0.14;0.11;0.785714286;7.666666667;4.782608696
E1;G40;90;62;9;68;0.3731351;2;0.42;0.33;0.785714286;7.555555556;4.852941176
E1;G41;87;64;63;343;0.379121325;3;2.68;1.91;0.712686567;5.444444444;5.56851312
E1;G44;102;77;27;200;0.408829643;1;1.28;1.05;0.8203125;7.407407407;5.25
E1;G45;79;55;8;47;0.417639541;0;0.43;0.22;0.511627907;5.875;4.680851064
E1;G46;101;80;23;135;0.374344343;0;1.05;0.84;0.8;5.869565217;6.222222222
E1;G47;105;62;12;72;0.412609681;3;0.63;0.38;0.603174603;6;5.277777778
E1;G48;87;68;95;549;0.396859135;1;4.78;3.53;0.738493724;5.778947368;6.429872495
E1;G49;95;72;28;203;0.352683428;2;1.01;0.7;0.693069307;7.25;3.448275862
E1;G50;98;50;32;129;0.36682128;1;1.66;1.18;0.710843373;4.03125;9.147286822
E1;G51;84;64;23;163;0.373917556;0;1.25;0.9;0.72;7.086956522;5.521472393
E1;G52;89;57;19;102;0.332292489;0;0.66;0.46;0.696969697;5.368421053;4.509803922
E2;G54;61;43;19;113;0.50809207;0;1.07;0.83;0.775700935;5.947368421;7.345132743
E2;G55;105;41;35;178;0.41805547;1;1.8;1.4;0.777777778;5.085714286;7.865168539
E2;G56;59;44;8;55;0.440284724;0;0.24;0.28;1.166666667;6.875;5.090909091
E2;G57;70;44;36;181;0.407560059;0;1.75;1.35;0.771428571;5.027777778;7.458563536
E2;G58;71;49;16;140;0.487874628;0;1.12;0.76;0.678571429;8.75;5.428571429
E2;G59;67;42;33;144;0.506290354;2;1.85;1.5;0.810810811;4.363636364;10.41666667
E2;G60;83;49;26;104;0.510064472;1;1.33;0.95;0.714285714;4;9.134615385
E2;G62;89;49;14;103;0.32598722;0;0.62;0.45;0.725806452;7.357142857;4.368932039
E2;G63;60;40;8;42;0.382512347;0;0.29;0.26;0.896551724;5.25;6.19047619
E2;G64;76;46;20;170;0.411931296;0;1.3;1.02;0.784615385;8.5;6
E2;G65;87;43;49;225;0.331147365;1;1.63;1;0.613496933;4.591836735;4.444444444
E2;G66;93;76;14;105;0.359320698;0;0.61;0.42;0.68852459;7.5;4
E2;G67;73;46;19;96;0.389627508;2;0.74;0.5;0.675675676;5.052631579;5.208333333
E2;G68;82;58;64;462;0.322495227;2;3.3;2.34;0.709090909;7.21875;5.064935065
E2;G69;90;57;55;255;0.268473001;2;2.27;1.52;0.669603524;4.636363636;5.960784314
E2;G70;80;49;28;145;0.312930912;0;1.69;1.33;0.786982249;5.178571429;9.172413793
E2;G71;79;53;40;228;0.280938787;2;1.93;1.22;0.632124352;5.7;5.350877193
E2;G72;80;53;44;355;0.299484035;1;2.25;1.85;0.822222222;8.068181818;5.211267606
E2;G73;80;59;37;252;0.311919087;1;1.94;1.3;0.670103093;6.810810811;5.158730159
E2;G74;63;48;15;133;0.276986724;2;0.82;0.74;0.902439024;8.866666667;5.563909774
E2;G75;69;51;21;84;0.282936119;1;1.02;0.78;0.764705882;4;9.285714286
E2;G76;72;55;25;82;0.260080736;0;1.18;0.86;0.728813559;3.28;10.48780488
E2;G77;73;57;20;76;0.29788668;0;1.03;0.82;0.796116505;3.8;10.78947368
E2;G78;69;47;3;20;0.399914042;0;0.13;0.14;1.076923077;6.666666667;7
E2;G79;70;51;29;209;0.362097409;2;1.49;1.15;0.771812081;7.206896552;5.502392344
E2;G80;92;55;19;136;0.38646964;0;0.92;0.67;0.72826087;7.157894737;4.926470588
E2;G81;69;47;7;47;0.397864459;0;0.38;0.26;0.684210526;6.714285714;5.531914894
E2;G82;102;52;57;349;0.411566136;1;2.58;1.62;0.627906977;6.122807018;4.641833811
E2;G83;96;48;25;156;0.398402998;0;1.33;0.87;0.654135338;6.24;5.576923077
E2;G84;94;71;23;162;0.355615395;0;0.96;0.78;0.8125;7.043478261;4.814814815
E2;G85;92;49;26;172;0.366816725;0;1.17;0.84;0.717948718;6.615384615;4.88372093
E2;G86;71;46;17;122;0.423901485;0;0.98;0.67;0.683673469;7.176470588;5.491803279
E2;G87;82;53;27;113;0.332742206;0;0.85;0.5;0.588235294;4.185185185;4.424778761
E2;G88;70;51;16;113;0.397184086;0;0.74;0.61;0.824324324;7.0625;5.398230088
E2;G89;90;59;37;238;0.453191197;1;1.88;1.17;0.622340426;6.432432432;4.915966387
E2;G90;76;41;29;188;0.4539427;0;1.38;1.01;0.731884058;6.482758621;5.372340426
E2;G91;58;46;4;32;0.480152929;0;0.21;0.14;0.666666667;8;4.375
E2;G92;57;48;6;35;0.375032299;0;0.26;0.22;0.846153846;5.833333333;6.285714286
E2;G93;75;53;15;104;0.454542552;0;0.74;0.48;0.648648649;6.933333333;4.615384615
E2;G94;76;53;35;213;0.428772541;0;1.51;1.1;0.728476821;6.085714286;5.164319249
E2;G95;72;50;23;162;0.430941359;0;1.26;0.94;0.746031746;7.043478261;5.802469136
E2;G96;80;59;13;48;0.291896627;0;0.32;0.14;0.4375;3.692307692;2.916666667
E2;G97;79;61;18;125;0.33781345;0;0.75;0.58;0.773333333;6.944444444;4.64
